reference,predicted,count
a,a,4534
ʊ̃,ʊ̃,0
ɹ,ɹ,4329
ɛ,ɛ,3701
l,l,4608
ĩ,ĩ,0
O,O,0
ʃ,ʃ,1558
æ,æ,2279
U,U,0
f,f,2058
õ,õ,0
n,n,7088
E,E,0
ẽ,ẽ,0
A,A,0
i,i,4987
e,e,2541
ð,ð,3308
m,m,4339
ɾ,ɾ,2478
ɛ̃,ɛ̃,0
ʒ,ʒ,861
ʊ,ʊ,4281
n̩,n̩,627
ʌ̃,ʌ̃,0
l̩,l̩,544
b,b,2713
ɾ̃,ɾ̃,1431
k,k,5049
w,w,3548
ɑ,ɑ,1841
ũ,ũ,0
ɹ̩,ɹ̩,0
æ̃,æ̃,0
ɪ,ɪ,11168
ɡ,ɡ,1716
ŋ,ŋ,1308
j,j,2378
t,t,5781
H,H,0
s,s,6797
θ,θ,1165
z,z,3163
β,β,0
ʔ,ʔ,1155
p,p,2417
ã,ã,0
ɪ̃,ɪ̃,0
d,d,4017
ɔ,ɔ,1498
v,v,1991
h,h,534
m̩,m̩,43
ɑ̃,ɑ̃,0
o,o,2868
ɔ̃,ɔ̃,0
ʌ,ʌ,3867
I,I,0
u,u,476
ɹ,ə˞,412
u,ʉ,1272
ʌ,ɨ,2241
ɑ,ɔ,175
ʌ,a,283
ʌ,ʔ,453
ɑ,ʌ,187
n,ɨ,141
ʊ,ɨ,216
ɪ,ɨ,4435
ʌ,ɛ,280
s,ð,44
ʌ,ə,2554
ɪ,ə,330
ɾ,ə,8
l̩,v,2
b,ɨ,19
ʌ,ʉ,99
ʔ,z,3
ɡ,ʌ,4
u,n,6
z,ɨ,14
ɹ̩,ɨ,49
a,ɜ˞,6
p,ə˞,3
ʊ,n,18
n̩,v,3
ɪ,ð,57
d,ɛ,8
d,ɨ,104
ɹ̩,s,2
h,t,12
ɹ,b,10
l,h,4
p,ɛ,1
t,ʔ,151
ʌ,w,45
ɹ̩,ə˞,1452
b,v,43
ɹ,ɜ˞,242
ɛ,æ,227
z,s,83
ʌ,ɾ̃,37
ŋ,ɨ,20
e,æ,25
j,ɨ,130
ɛ,n̩,38
ɹ̩,ɜ˞,1062
ʔ,t,445
s,z,743
ʌ,o,291
ʌ,ʊ,156
θ,ð,165
ɛ,ɨ,908
i,ʔ,13
ɹ,ɨ,95
ɛ,ɪ,397
o,ə,91
h,ɦ,1006
ʌ,ɪ,375
n,d,53
j,ɪ,49
ʌ,t,58
m̩,ə,38
m̩,ɪ,14
o,ʌ,94
ɪ,i,447
ʌ,ə˞,383
m,ɑ,28
ɡ,k,58
ʊ,ə,123
ɛ,ð,37
f,v,98
n̩,ɨ,225
ɔ̃,ɑ,2
ʔ,n,77
ɛ,ə,171
ʌ,l̩,134
s,ʉ,3
o,ɛ,54
ʊ,l,26
s,ɛ,11
ʌ,ɑ,365
l,ʊ,41
a,e,112
ɾ̃,n,518
n,ð,334
i,ɨ,593
ɹ̩,ə̥,3
s,p,6
ʌ,ɜ˞,164
n,s,5
e,ɛ,61
ʌ,ɔ,71
n,ŋ,87
ð,H,65
d,ɾ,370
w,ə˞,14
i,ʉ,68
l̩,ə,49
ʊ,m,14
i,ɪ,474
æ,i,25
a,ɛ,23
j,h,36
ɔ,ʔ,13
j,i,111
æ,ʌ,46
ɑ,ə,64
æ,ɪ,39
ɛ,ʔ,153
æ,ɛ,286
ɪ,ɜ˞,36
u,ɨ,127
m,ʉ,2
o,a,55
o,h,7
ʊ,ɔ,20
j,ð,16
n,ɛ,32
s,t,46
ɛ,H,3
æ,ɑ,89
ʌ,h,32
t,ɨ,82
d,ð,81
n,ə˞,19
ɪ,o,33
ʊ,ə˞,34
m̩,ʌ,17
h,θ,4
m̩,ɨ,22
j,ɑ,6
l̩,l,49
s,d,11
m̩,w,1
h,ɪ,28
m̩,ɜ˞,2
æ,a,99
j,ʌ,12
ɛ,t,19
æ,h,8
h,ɑ,9
i,ɹ,4
ɛ,ɜ˞,122
ɪ,ʉ,184
ʊ,l̩,21
ʔ,p,10
l̩,o,9
ʌ,n̩,93
t,n,42
a,ʔ,49
n,ɾ̃,335
d,ʔ,33
d,t,172
ɾ̃,ɾ,27
ʊ,ɜ˞,32
ɪ,n̩,76
d,n,21
ʊ,ɪ,89
n̩,m,10
ʌ,ə̥,185
æ,ʔ,55
z,ʒ,25
j,ʉ,81
d,H,5
ɑ,ə˞,21
u,ə̥,24
ɪ,ʔ,200
ɪ,ʊ,67
ɪ,ɡ,19
ɪ,ə̥,169
s,ʃ,52
l,ə˞,5
ɛ,ɦ,31
l,ɨ,47
ɛ,s,3
d,h,11
m,b,18
ʌ,b,28
h,ə,21
ɹ,v,33
ʌ,d,34
ɑ,o,16
m̩,ʔ,13
n,ʊ,16
l,ə,33
s,ɜ˞,13
ʌ,m,37
ɹ̩,n,7
j,e,3
ɛ,e,85
n,ɪ,29
s,ɪ,10
i,ə˞,22
l,e,14
o,ɔ,150
ɪ,ə˞,104
w,l̩,2
θ,z,2
ʌ,ð,149
θ,H,31
s,ʔ,26
u,ʔ,9
s,ɨ,59
ɹ,ɦ,9
ɪ,t,44
ŋ,n,91
m̩,m,76
m̩,ð,3
ɪ,ɛ,327
o,s,2
ɔ,ɑ,81
s,ɡ,5
j,ɛ,35
d,b,7
l,ɾ,7
d,v,10
ʊ,h,7
m̩,ɛ,19
j,l,9
ɛ,a,91
t,d,183
k,t,14
n,a,12
æ,ʊ,16
h,n,29
m̩,f,5
w,ɨ,44
ʌ,m̩,21
ʊ,ʉ,11
ʊ,k,2
d,ɪ,27
w,m,14
n,k,10
ʌ,n,90
ɹ,ʔ,44
h,ɡ,1
ð,d,41
ʌ,H,10
u,ə,24
u,ɪ,29
θ,ʊ,2
d,ɦ,10
ɪ,k,12
ɪ,m̩,1
ʌ,z,34
s,e,3
ʌ,æ,66
æ,l,7
ɔ,ʌ,26
ɔ,o,21
ʌ,ɦ,53
n̩,ʔ,27
ɾ,d,74
a,ə,40
ɪ,n,79
ɑ,ɨ,16
ʌ,p,21
h,ð,6
æ,t,11
t,b,2
ð,ɛ,29
a,ð,7
n̩,h,2
e,ɨ,115
ʌ,e,33
v,b,42
ɑ,ɛ,16
ʌ,l,36
n,ə,80
m,ŋ,5
ɹ,ɾ,12
o,ɦ,12
ɪ,z,64
e,a,6
ɑ,a,140
ɾ̃,ɛ,12
ɛ,ə˞,132
a,ɦ,4
ɪ,w,28
m,v,13
b,w,7
ɪ,ɑ,23
n,i,12
ɡ,ʊ,2
j,ʔ,87
n,ɡ,1
t,p,15
ʌ,u,25
a,ʌ,49
ɪ,ɾ̃,47
ʌ,f,9
n̩,ɾ̃,20
ɾ̃,æ,2
ɑ,ʔ,45
ʊ,ɾ,8
t,ɾ,165
u,o,23
n̩,n,119
l,ʔ,19
ʌ,ʒ,2
a,ɨ,44
p,f,8
n,e,12
m,ɨ,24
n,m,90
ɪ,h,16
b,p,27
m,a,7
ɹ,o,5
ɛ,ɾ,15
t,ɜ˞,14
h,ʊ,15
ɛ,ʌ,112
v,f,34
ɛ,d,15
p,ʔ,7
æ,e,17
ʊ,w,29
j,k,8
ɑ,æ,16
j,b,9
j,ɦ,11
h,ɛ,16
m̩,p,1
ɑ,ʊ,12
ɪ,ɦ,32
ʌ̃,ɨ,15
ð,θ,99
ɑ,ð,1
ɪ,ɾ,65
j,p,7
ɪ,ɹ,13
ɾ̃,ɑ,2
o,b,1
a,v,2
ɹ,m,4
ɹ,z,17
ʒ,ə,5
s,ə,35
m,ʌ,3
ɛ,ɹ,8
n,n̩,110
n,z,7
p,b,14
a,ɔ,8
k,ɡ,58
h,a,17
l,ɦ,6
ɹ,t,12
w,ɛ,8
ʒ,ɨ,39
t,ɡ,1
a,ɑ,37
ʔ,n̩,3
ɾ,ɨ,15
w,X,1
ɛ,h,16
ɾ,ɾ̃,36
v,z,5
m,ʊ,11
e,ʉ,3
w,b,10
θ,t,24
d,z,17
ð,ɨ,47
ɾ,t,14
θ,ʔ,5
n,h,5
ð,ə,33
d,ʉ,14
u,ə˞,9
ð,m,6
o,ʔ,36
d,ʃ,11
t,ʉ,22
u,ɦ,3
ð,v,8
ɹ,ɔ,8
j,ʒ,7
m,n,54
ʔ,ɪ,16
o,ɨ,30
a,o,14
æ,ɨ,77
ɛ,ɾ̃,18
a,h,6
u,h,5
ʔ,d,28
t,h,5
j,n,43
ɾ̃,a,9
ð,n,18
ɾ̃,d,4
o,ɪ,31
t,ə̥,31
f,p,44
n̩,ʊ,3
l,ð,18
v,n,3
t,f,4
u,ɛ,11
ɾ,i,1
ʒ,ə˞,4
ɪ,l̩,22
θ,ɨ,19
h,ʔ,25
ɾ̃,o,4
ʊ,ə̥,15
z,ɪ,5
m,ʔ,21
i,ə,10
n,v,8
z,ɹ,1
k,p,6
ʒ,z,24
e,w,4
ɾ̃,ɪ,16
ʌ,ɡ,13
ɔ,ɛ,3
s,o,10
õ,n,5
u,j,11
o,l̩,16
ɹ̩,ɹ,90
n,ʔ,51
v,h,1
ɪ,j,22
ɾ̃,ɨ,27
æ̃,æ,51
l,ɛ,3
i,ɾ̃,7
m,ɦ,9
z,o,2
a,z,2
t,θ,20
ð,ɪ,12
ɾ,a,9
ð,ɾ̃,5
õ,o,80
ʊ̃,ʊ,101
ʌ,θ,10
i,ɦ,12
l̩,ʊ,3
s,m,10
l,a,5
ɛ,i,14
h,ʉ,4
j,a,13
æ,ɾ,4
z,ð,27
ʃ,d,23
i,ʒ,2
j,ʃ,9
ɛ,w,4
ð,p,4
h,ə˞,9
w,ə,39
t,s,8
ɪ,æ,36
m̩,s,1
d,ɡ,5
ɹ̩,ʌ,4
θ,l,3
n,æ,18
ɹ,ɾ̃,7
n̩,ə,41
ɪ,ʌ,53
j,d,10
u,ʒ,3
ɹ̩,ɛ,35
ɑ̃,ʌ,8
e,i,72
ʊ,ɑ,17
w,ɹ,10
u,ɹ,3
ɑ̃,ɑ,12
