reference,predicted,count
a,a,4474
ʊ̃,ʊ̃,0
ɹ,ɹ,4111
ɛ,ɛ,3697
l,l,4624
ĩ,ĩ,0
O,O,0
ʃ,ʃ,1578
æ,æ,2332
U,U,0
f,f,2064
õ,õ,0
n,n,7888
E,E,0
ẽ,ẽ,0
A,A,0
i,i,5074
e,e,2531
ð,ð,3342
m,m,4438
ɾ,ɾ,2481
ɛ̃,ɛ̃,0
ʒ,ʒ,745
ʊ,ʊ,4237
n̩,n̩,0
ʌ̃,ʌ̃,0
l̩,l̩,553
b,b,2730
ɾ̃,ɾ̃,0
k,k,5057
w,w,3567
ɑ,ɑ,1798
ũ,ũ,0
ɹ̩,ɹ̩,0
æ̃,æ̃,0
ɪ,ɪ,16845
ɡ,ɡ,1719
ŋ,ŋ,1327
j,j,2460
t,t,5857
H,H,0
s,s,6846
θ,θ,1146
z,z,3161
β,β,0
ʔ,ʔ,1157
p,p,2424
ã,ã,0
ɪ̃,ɪ̃,0
d,d,4043
ɔ,ɔ,1490
v,v,1990
h,h,1764
m̩,m̩,0
ɑ̃,ɑ̃,0
o,o,2787
ɔ̃,ɔ̃,0
ʌ,ʌ,4028
I,I,0
u,u,1864
ɹ,ɜ˞,919
ʌ,ɪ,2672
ɾ̃,n,1814
ɑ,ɔ,172
ʌ,h,39
ɑ,ʌ,215
n,ɪ,84
ʊ,ɪ,315
ʌ,ɛ,286
s,ð,43
ʌ,ə,2686
ɪ,ə,407
ɾ,l,2
l̩,ə,50
ɛ,ɪ,1351
ʌ,u,122
ɪ,t,27
u,ɪ,159
ɹ̩,ɜ˞,2538
m,n,58
a,ɔ,9
p,n,3
ʊ,t,13
ɾ,ʃ,1
n̩,ɪ,280
d,n,27
d,ɜ˞,27
l,h,8
p,ɛ,1
t,ʔ,158
ʌ,ʊ,157
z,s,76
e,ɛ,57
j,ʒ,6
ʔ,t,480
s,z,763
ʌ,o,277
θ,ð,163
i,ʔ,12
ɹ,ɪ,78
m,z,4
s,h,7
ʌ,ʔ,392
ʌ,ɑ,368
m̩,ɪ,41
ɪ,i,355
ʌ,ɜ˞,523
m,ɑ,21
ɡ,k,60
ʌ,ð,147
f,v,103
ɔ̃,ɑ,3
ɛ,ə,173
ʌ,l̩,117
s,ɛ,11
o,l,12
ʊ,p,4
o,ɛ,72
ʊ,l,42
l,ʊ,35
a,e,107
ʌ,a,280
n,ŋ,107
n,ð,395
i,ɪ,1066
n̩,n,626
ʌ,t,56
ɹ̩,ə,34
s,p,6
d,ɪ,79
ʌ,ɔ,65
ð,H,67
d,ɾ,344
ɾ,d,76
w,ɜ˞,21
ʊ,m,16
f,θ,10
æ,i,27
j,h,38
t,d,182
ɔ,ʔ,10
j,i,109
s,ə,46
ɑ,l̩,1
æ,e,15
æ,ɛ,309
ɪ,ɛ,295
m,u,2
o,a,58
o,h,11
ʊ,ɔ,11
n,ɛ,18
s,t,48
ɛ,H,6
æ,a,87
t,ɪ,61
d,ð,73
n,h,10
ʊ,ɜ˞,74
m̩,ʌ,8
h,ɪ,33
m̩,ŋ,1
j,ɑ,4
l̩,l,49
s,d,11
m̩,j,3
h,u,5
m̩,θ,3
æ,o,7
j,ʌ,11
ɛ,t,20
h,ʔ,4
o,ɑ,20
m,w,8
ɔ,ɜ˞,64
l,ə,39
i,ɹ,2
ɛ,ɜ˞,241
ɪ,u,163
w,ɹ,11
ʊ,l̩,23
ʔ,n,83
ɛ,ʔ,138
æ,ʌ,48
ʔ,p,5
l̩,o,7
ʌ,n,167
a,ʔ,63
n̩,d,21
d,ʔ,27
ʌ,j,14
d,t,196
ʊ,ʔ,35
m,ʌ,5
ð,t,13
ʒ,ɡ,3
ʌ,d,32
ɾ̃,ɾ,46
n̩,m,20
æ,ʔ,53
z,ʃ,32
d,H,7
a,ɛ,33
ɑ,ɜ˞,54
u,ə,35
n̩,ə,54
ɾ̃,ɪ,75
ɛ,n,66
b,v,37
j,ʔ,63
v,b,42
s,ʃ,47
